asin,OrderId
B001CXLSSW,0
B002P51NXQ,0
B00BC6036C,0
B00IL2QNQO,0
B00FR84QG4,0
B001QBZIMC,1
B000UUBFZY,1
B0093Q8JCI,1
B004J41HQY,1
B000NMBLDU,1
41,11
42,24
41,28
3,5
22,13
38,3
1,4
49,16
8,23
48,36
40,17
13,25
9,23
38,41
7,35
24,11
5,11
49,40
15,28
11,22
16,36
4,36
25,23
17,44
32,3
21,28
44,37
20,25
13,12
18,29
27,12
15,7
21,30
31,1
20,41
22,43
42,21
2,8
18,46
14,16
8,22
1,47
22,41
27,30
2,26
47,46
46,5
25,3
5,19
13,32
12,12
18,28
6,48
0,0
3,5
44,6
33,41
46,38
30,12
18,15
45,40
6,13
31,35
28,8
14,7
5,3
21,41
39,14
21,48
8,39
40,40
1,38
9,23
14,26
22,23
33,20
18,37
38,14
34,30
23,44
47,38
37,6
39,3
15,19
20,38
24,35
7,21
23,28
7,0
38,36
23,22
46,26
14,49
34,26
7,25
20,30
24,4
34,0
9,14
8,1
34,8
28,18
30,22
3,49
24,6
31,45
39,5
38,33
49,4
39,35
33,37
5,42
3,40
15,17
35,38
3,2
8,15
2,6
5,7
28,13
45,2
11,22
33,13
25,45
3,13
39,25
14,14
2,37
3,35
24,38
19,20
23,46
24,6
44,11
31,22
2,13
29,21
27,36
6,35
15,22
0,23
18,17
44,22
23,35
42,23
46,40
11,33
18,29
21,45
18,48
40,45
45,42
1,30
29,46
49,35
1,22
28,1
37,43
13,7
13,27
23,4
42,4
27,5
33,49
44,29
40,24
24,40
21,40
18,31
26,37
27,17
23,23
8,25
2,45
3,10
17,23
11,9
34,45
5,30
29,0
38,14
44,14
24,7
40,22
4,42
41,9
40,41
45,41
26,35
39,22
30,14
19,1
37,29
47,8
46,41
45,30
10,12
5,38
6,21
31,25
2,30
17,13
35,8
26,2
41,12
46,9
12,3
31,31
37,17
4,35
16,16
13,29
48,49
23,31
47,34
14,41
21,48
46,23
26,5
16,30
12,11
34,35
30,41
17,45
16,11
40,38
27,6
13,41
11,23
12,25
22,16
25,16
43,35
10,18
19,10
47,43
43,24
24,39
38,24
7,3
36,39
38,7
31,45
35,24
2,40
21,11
39,40
39,34
45,31
3,10
43,9
40,1
29,39
29,36
46,43
6,31
39,26
24,10
34,15
16,12
42,49
35,23
22,25
0,29
33,0
14,44
48,38
17,21
24,41
9,9
43,33
35,11
1,45
8,2
29,25
0,21
12,3
33,40
6,33
48,14
15,7
23,30
47,20
30,33
34,43
45,10
28,6
16,13
9,20
31,46
10,12
23,44
38,42
1,21
19,28
12,42
45,1
26,8
23,28
42,18
2,28
0,4
49,0
8,5
23,26
32,1
37,24
6,45
25,20
17,7
26,38
34,7
47,26
12,41
46,6
7,38
27,14
36,3
7,8
6,9
7,28
48,47
36,29
37,9
34,40
41,49
12,20
20,40
38,26
31,27
32,2
37,22
43,13
28,32
32,45
11,0
8,27
44,47
7,34
10,21
10,29
22,12
44,37
19,20
28,6
17,18
34,5
43,20
49,44
23,42
7,29
13,30
39,46
24,3
19,7
48,43
22,42
12,47
33,49
29,25
34,21
18,34
16,22
13,14
26,12
7,33
28,32
42,10
22,18
21,10
0,41
25,4
2,39
44,39
7,30
30,46
11,3
15,35
0,39
39,24
5,8
19,44
42,0
28,20
21,18
25,44
20,30
43,7
27,48
26,33
33,33
1,41
2,19
3,10
10,4
39,39
41,22
8,9
42,36
32,7
40,45
27,46
33,22
49,16
11,40
35,28
31,33
46,1
40,16
29,3
36,25
17,2
21,14
48,8
44,17
30,27
40,41
10,6
33,10
41,1
8,8
44,43
3,34
27,10
49,2
13,0
34,35
2,33
37,22
44,0
36,13
36,24
12,30
10,24
43,36
37,8
36,48
29,19
1,28
43,13
22,1
30,28
11,13
17,0
40,11
47,46
43,34
15,4
18,22
15,27
19,13
23,13
47,45
29,23
49,29
12,28
46,14
7,4
45,11
42,2
5,4
13,9
9,43
27,40
30,48
31,22
11,46
12,16
14,43
23,3
24,32
14,27
24,38
46,33
23,13
1,0
27,18
5,10
29,43
24,13
8,11
0,38
17,10
37,45
25,16
16,40
26,16
21,34
31,39
8,21
22,40
42,26
43,34
8,38
8,26
23,13
23,6
31,20
41,48
3,43
47,36
36,45
5,17
0,23
22,10
24,33
29,23
35,22
19,6
39,34
29,42
40,4
18,28
13,12
15,19
16,3
37,25
44,11
39,31
41,22
11,42
10,18
28,40
31,24
8,12
45,33
37,45
39,43
7,30
25,24
14,47
39,3
25,17
15,6
17,13
26,47
21,13
19,27
31,17
22,5
1,48
14,0
22,44
39,33
40,25
9,3
18,4
3,32
44,2
1,27
9,46
2,33
45,23
42,42
28,34
10,29
19,15
34,9
39,38
4,20
48,34
18,36
49,20
8,18
42,28
7,38
4,42
7,2
29,7
41,11
37,0
48,17
5,36
42,49
26,11
22,25
41,41
33,10
47,17
34,34
21,27
22,14
39,27
5,5
17,36
41,31
26,2
20,17
22,24
35,18
37,43
29,13
38,29
5,49
26,21
25,34
26,12
8,38
31,9
13,0
10,44
1,41
11,32
49,26
38,41
20,13
42,1
22,10
30,33
28,46
47,38
49,41
12,11
14,33
13,19
35,33
48,11
43,26
1,20
45,24
22,43
18,40
35,39
3,3
27,11
8,47
18,19
21,11
41,17
43,10
9,0
49,35
16,48
46,11
12,43
32,29
15,18
17,20
19,19
30,24
20,5
35,23
47,42
4,38
27,31
35,5
36,4
2,40
39,0
29,22
26,31
9,39
29,6
25,31
34,8
36,36
34,2
20,22
44,23
28,46
44,25
49,4
18,1
42,3
25,12
26,49
21,44
6,42
18,37
21,36
14,35
19,3
8,25
23,39
45,1
40,27
9,31
36,48
49,29
27,15
11,32
46,13
29,2
49,42
11,20
10,43
7,20
29,44
3,7
6,49
24,44
1,39
49,20
34,49
5,23
1,10
15,10
0,29
5,9
40,23
38,7
17,49
45,23
43,23
30,18
18,5
44,40
34,22
4,41
18,27
7,34
19,8
23,23
29,46
35,35
41,39
8,35
39,39
45,11
39,6
30,32
16,22
9,1
25,0
22,6
21,3
43,0
25,11
37,24
37,24
17,16
17,10
26,49
0,42
13,42
41,13
5,4
8,47
13,3
44,29
19,46
0,9
17,49
27,49
37,10
41,12
45,28
47,10
20,31
41,43
11,31
28,0
2,21
25,21
17,0
5,37
16,40
45,34
43,28
36,36
0,21
42,0
43,5
15,37
1,18
27,35
41,5
8,9
10,33
44,3
0,47
25,27
0,34
4,38
31,10
46,14
8,37
20,12
19,29
11,22
43,1
34,33
45,15
7,6
46,46
12,8
22,28
16,39
39,28
19,37
38,43
22,17
6,49
30,3
10,32
31,1
28,24
9,5
12,34
24,17
14,39
26,9
12,25
2,12
19,47
33,18
15,23
40,15
31,16
45,21
12,15
39,3
27,15
7,10
4,1
47,6
47,11
22,19
24,45
48,28
17,34
48,25
36,43
34,31
6,10
29,14
25,20
42,36
47,23
40,44
37,4
46,28
23,42
23,22
10,46
18,16
25,35
0,18
18,47
28,44
0,37
15,49
48,21
20,35
46,28
19,12
45,19
12,29
16,29
33,45
17,6
40,36
33,49
34,48
2,31
4,4
17,14
28,25
0,27
13,18
33,7
7,42
24,26
25,44
26,39
37,18
9,0
25,21
20,3
23,24
16,0
29,40
30,0
38,7
23,49
20,48
25,23
4,23
32,39
35,21
34,46
26,38
35,27
7,16
18,25
6,35
7,9
29,27
44,33
10,2
16,25
13,10
47,30
45,41
8,10
10,41
34,26
0,7
48,34
8,45
22,27
24,12
9,10
27,5
38,48
19,0
1,13
40,34
34,41
43,49
46,39
34,16
3,38
42,28
28,40
33,48
16,24
45,45
33,7
7,43
41,30
20,1
28,39
12,40
19,10
32,29
0,27
42,5
41,11
1,44
21,7
6,39
13,25
12,43
30,35
31,3
3,35
43,26
0,24
29,24
40,40
3,8
22,22
9,35
0,19
22,48
0,23
31,34
48,18
1,48
33,4
40,27
29,31
17,3
43,5
25,26
26,42
5,17
2,0
43,26
31,21
29,21
13,30
4,49
39,9
39,47
26,3
24,43
14,31
39,34
1,22
17,24
36,20
28,31
33,7
24,20
20,12
29,22
16,36
20,18
1,19
37,27
32,16
47,1
9,46
35,44
14,33
19,22
49,18
43,27
21,32
20,11
36,26
7,8
11,6
33,34
24,23
27,44
39,11
1,47
47,0
20,5
28,27
5,15
6,39
47,14
40,28
49,17
41,23
33,16
34,28
49,6
18,8
21,5
43,49
1,47
40,46
43,44
39,45
44,28
31,18
47,17
8,27
38,36
44,32
16,15
19,48
33,48
49,22
35,8
14,24
33,25
47,49
34,31
17,37
26,13
27,21
49,19
17,46
6,38
2,44
39,14
21,37
45,19
15,31
47,13
2,21
13,37
31,21
36,46
17,3
