asin,price
B001CXLSSW,37.94
B002P51NXQ,53.99
B00BC6036C,19.95
B00IL2QNQO,38.97
B00FR84QG4,59.95
B001QBZIMC,6.93
B000UUBFZY,9.99
B0093Q8JCI,22.9
B004J41HQY,85.55
B000NMBLDU,14.95
44,17
42,3
8,3
45,48
38,17
0,37
27,0
24,41
13,17
32,48
32,19
13,24
22,26
8,17
26,46
16,13
47,48
25,49
22,21
15,32
39,44
8,18
40,34
32,35
2,14
46,16
38,24
41,32
5,36
29,34
12,33
14,40
10,33
14,0
28,11
36,21
14,22
19,32
2,31
5,16
36,35
45,33
36,26
34,49
31,46
40,33
23,10
45,31
5,37
5,13
48,17
18,36
24,32
3,47
4,9
39,36
25,12
6,33
37,11
20,46
19,47
37,46
10,27
9,30
28,45
22,10
40,41
32,14
37,33
44,29
47,4
47,43
48,22
49,17
29,35
44,22
22,11
4,39
44,39
17,20
17,20
27,33
1,31
13,45
2,34
31,45
49,41
6,38
16,19
4,33
24,42
10,6
19,19
8,23
42,26
47,31
45,29
2,11
36,5
49,25
28,46
46,21
4,4
42,24
40,19
46,16
46,16
8,44
36,0
33,2
9,30
34,3
45,25
36,22
41,19
7,29
35,36
35,39
37,0
11,35
13,21
19,29
38,49
41,2
19,7
20,46
22,24
11,18
28,47
39,28
17,9
15,6
36,19
42,5
12,9
42,41
1,49
9,11
44,8
36,25
39,22
12,24
44,28
11,42
24,17
1,36
17,47
1,4
40,41
27,32
21,42
45,25
0,25
22,35
28,34
1,12
13,39
30,7
27,3
41,41
46,18
30,22
40,12
44,12
6,7
24,29
38,43
32,46
49,36
20,24
15,29
23,47
32,29
12,15
41,14
31,6
29,18
38,20
14,24
1,17
14,3
3,22
49,27
33,27
13,23
49,12
1,10
9,34
23,35
7,46
43,3
14,4
41,12
15,40
27,36
30,45
16,10
27,38
1,19
39,26
21,46
11,31
12,39
12,1
16,44
37,11
29,11
3,18
21,16
37,0
29,0
31,18
17,0
48,39
24,47
2,25
26,11
9,28
23,35
5,14
40,47
47,28
15,25
34,2
44,43
7,28
41,47
0,41
1,44
0,49
20,17
33,13
4,37
23,22
2,16
47,37
26,12
36,30
12,5
32,42
47,10
11,23
49,23
14,37
24,45
30,39
36,35
29,25
45,28
45,31
1,1
36,19
44,7
26,45
20,7
47,34
6,36
19,5
33,39
20,34
30,16
49,2
29,43
47,33
38,42
16,35
5,6
11,21
32,43
46,17
19,25
16,47
5,31
14,16
46,4
28,15
24,20
33,4
47,13
41,4
15,2
11,26
14,19
30,29
27,40
15,19
40,19
47,19
4,9
42,1
22,44
24,23
49,16
19,37
33,41
16,30
20,22
22,35
14,28
15,1
33,41
7,8
15,38
30,44
20,37
1,46
35,11
3,8
14,33
7,26
44,19
28,6
33,11
2,33
5,49
8,41
34,34
34,42
14,49
14,18
37,48
15,3
34,31
49,42
33,14
30,49
5,27
15,5
47,39
3,28
28,26
1,9
44,30
31,21
20,48
7,0
39,42
16,14
37,0
34,4
11,16
0,28
8,44
20,16
31,1
10,34
49,5
25,37
9,35
3,40
33,32
6,36
11,21
30,23
0,4
43,27
5,32
20,48
25,26
28,44
26,25
45,22
42,24
8,42
7,46
14,41
3,30
43,6
28,28
41,34
24,39
34,35
19,43
21,10
34,22
27,29
24,28
41,4
22,3
10,7
18,36
17,39
13,10
7,23
10,34
10,19
19,18
24,49
12,16
11,46
36,26
10,3
0,31
47,4
43,43
3,26
10,46
0,18
23,1
41,28
44,16
5,6
43,14
7,42
21,30
46,16
21,45
46,40
7,5
23,41
31,4
38,49
11,45
24,16
25,29
5,48
1,8
4,29
36,3
0,0
26,29
27,30
23,39
22,3
37,31
27,28
37,21
19,45
25,22
37,46
47,8
18,36
2,1
3,10
43,22
16,33
24,16
11,41
31,34
21,46
33,4
15,11
19,30
45,13
28,10
32,22
34,33
19,13
38,17
40,31
26,3
17,18
26,47
38,26
37,39
34,30
26,33
37,26
15,30
13,18
37,38
18,37
18,48
7,36
27,37
32,15
27,7
0,48
21,22
39,21
43,20
15,22
32,39
38,10
20,29
8,26
34,5
45,24
9,40
39,16
38,43
33,42
49,30
5,29
47,38
49,2
45,44
19,22
44,13
0,14
6,48
26,49
23,10
43,9
44,29
27,23
49,10
37,2
48,27
4,31
14,33
10,28
40,47
13,20
15,48
49,34
25,20
2,6
41,26
7,46
35,43
30,40
11,33
20,4
4,32
35,11
28,25
19,12
39,23
42,31
24,3
0,28
21,5
20,38
47,33
4,49
46,4
36,41
17,39
21,29
40,21
30,16
42,25
14,24
35,28
15,0
27,38
13,13
35,34
10,27
31,7
18,39
0,22
9,31
7,29
4,13
14,8
10,7
26,28
24,8
2,13
30,47
0,2
43,3
27,40
9,49
24,21
20,17
21,9
13,5
36,20
20,42
32,37
35,40
40,7
42,34
43,14
48,35
9,43
39,10
39,37
34,47
49,39
35,37
23,30
12,21
27,5
46,25
11,8
40,5
7,29
5,19
47,38
22,21
43,30
15,43
16,15
23,4
25,14
31,41
11,31
33,40
43,17
26,24
21,37
2,33
46,39
15,28
24,31
1,21
38,7
31,25
32,33
43,45
45,13
31,15
31,7
2,29
40,17
36,15
32,28
42,39
20,18
9,43
6,13
30,21
40,17
24,16
6,46
17,20
23,6
28,48
47,8
26,28
25,22
49,7
39,47
33,21
18,46
11,14
24,32
13,10
12,7
46,24
36,20
16,29
1,15
18,17
8,11
12,1
23,19
25,47
34,28
15,44
16,38
1,38
46,43
3,37
9,44
40,49
32,49
7,25
36,5
15,20
38,34
33,21
24,20
14,15
13,30
25,37
28,2
3,0
6,48
23,44
12,13
29,12
38,29
47,1
45,38
13,30
29,46
14,46
49,40
10,23
25,9
4,17
13,11
37,0
30,28
22,48
32,39
48,6
26,37
2,25
25,46
4,13
39,33
35,11
11,23
39,48
10,16
40,43
2,33
10,4
6,16
33,18
15,35
40,43
31,39
25,37
41,14
9,1
8,26
9,9
8,10
39,20
38,45
44,14
12,49
0,24
9,10
35,12
15,6
23,3
37,38
15,49
23,31
16,37
26,29
31,22
43,19
17,42
13,5
28,29
34,13
30,3
1,8
36,20
31,5
6,15
27,40
17,23
46,35
11,23
3,20
10,3
15,31
23,12
47,48
9,31
8,14
1,6
12,46
17,3
44,39
3,8
21,36
24,33
15,15
42,44
24,49
2,10
44,17
17,38
49,17
41,2
13,4
0,9
29,32
15,40
37,11
42,4
29,36
8,14
24,17
19,36
24,44
48,32
1,24
23,37
22,15
23,10
26,0
31,34
8,20
48,29
5,29
41,35
48,0
6,41
32,12
25,37
14,25
2,12
37,28
33,6
36,18
44,1
3,17
5,41
26,40
30,34
42,42
14,45
16,28
27,48
10,5
48,34
22,38
48,46
11,9
28,41
3,22
42,24
3,22
2,11
21,12
44,48
31,4
0,21
17,46
28,31
6,15
46,32
38,21
2,36
15,2
16,0
33,47
16,28
39,24
18,39
39,6
40,44
3,48
31,16
39,38
2,26
16,48
43,37
26,16
2,27
6,2
21,22
40,1
35,38
7,12
9,21
19,15
41,49
46,4
39,34
33,0
41,39
43,27
21,43
28,46
11,36
27,1
5,7
19,14
18,33
44,17
26,46
31,46
36,45
0,17
46,17
29,18
6,48
13,35
15,37
3,34
11,25
42,1
34,42
43,42
40,19
31,42
1,28
5,35
22,0
28,9
23,44
1,30
15,36
6,1
25,17
41,20
41,15
44,27
21,15
13,13
25,10
0,16
11,5
11,29
22,37
34,6
22,29
28,2
2,22
14,49
29,31
22,17
44,27
49,12
30,12
43,17
20,36
48,49
24,18
29,41
28,9
26,31
38,38
24,42
45,22
9,49
7,48
1,9
49,37
4,33
31,44
31,35
28,18
24,18
34,15
24,29
15,27
36,39
48,47
7,40
0,30
34,22
19,39
34,32
6,5
28,18
46,15
23,46
0,27
32,19
4,23
7,34
42,41
14,9
27,24
24,29
12,11
17,7
39,30
24,19
30,2
10,4
19,40
28,2
29,0
35,31
46,4
0,2
25,33
28,20
32,37
31,21
35,4
40,15
2,33
17,8
18,17
9,17
41,10
49,44
44,39
28,0
35,34
49,19
31,0
22,41
23,22
20,35
24,18
32,17
8,49
23,0
37,26
5,2
11,35
29,16
16,24
45,43
0,4
20,15
14,44
4,3
49,35
6,36
46,17
42,1
19,13
25,31
4,29
30,29
17,5
20,13
11,12
49,10
18,49
13,48
18,30
11,46
22,36
13,48
39,37
8,19
39,21
13,9
2,45
33,33
34,12
4,15
48,34
45,31
40,5
45,44
48,15
31,28
4,19
7,20
26,37
15,14
24,7
15,32
7,37
6,3
39,13
39,17
18,41
30,13
28,30
10,25
37,19
44,22
35,34
46,31
44,26
6,9
17,43
47,4
14,32
49,48
22,32
16,41
45,7
32,8
27,9
4,39
41,21
1,21
12,0
13,1
36,44
20,13
38,38
15,19
48,28
42,45
36,4
31,1
14,48
49,14
37,46
22,22
28,21
15,36
31,31
19,24
37,11
47,8
23,14
32,31
34,5
4,39
34,30
24,31
46,37
11,13
14,48
40,36
28,2
44,49
22,13
49,10
24,10
44,11
28,36
31,21
9,9
28,9
44,49
30,35
24,11
41,9
48,23
39,5
22,42
11,1
23,47
15,27
44,28
36,32
41,11
3,25
41,32
25,32
38,28
1,49
29,20
9,13
45,19
33,3
37,42
15,49
30,28
4,3
5,40
5,49
37,38
36,14
27,46
17,41
29,32
35,11
34,0
11,49
42,15
48,29
13,31
15,46
30,18
41,12
28,20
38,3
16,32
8,42
16,12
25,41
16,45
24,5
42,0
38,35
41,22
25,29
28,17
31,4
40,23
42,44
18,14
4,4
24,18
49,37
1,32
10,49
11,27
19,12
27,1
19,20
46,16
49,28
19,39
36,17
38,31
31,29
14,47
31,36
41,6
6,24
29,3
16,37
11,27
6,24
48,39
41,45
47,35
1,33
44,21
37,6
25,9
47,14
31,24
16,2
29,20
12,29
3,42
2,30
4,30
3,30
38,19
9,27
46,18
22,0
18,42
42,18
42,4
15,49
39,7
2,17
33,49
28,9
27,31
37,32
10,0
11,18
32,34
33,44
28,11
5,42
36,36
16,0
33,44
15,11
9,36
19,42
37,6
28,33
12,18
33,46
20,17
46,20
5,20
34,5
31,42
9,24
42,25
12,43
25,3
47,42
4,21
32,38
39,1
4,27
9,38
41,24
18,15
19,3
17,15
11,24
47,28
40,18
25,23
17,15
30,22
13,29
13,36
44,22
15,16
22,11
13,10
22,45
38,49
48,39
13,18
48,27
40,16
8,48
44,26
47,44
35,38
41,46
31,31
14,25
7,17
47,17
45,28
2,2
16,22
13,29
8,38
37,49
30,28
6,14
4,22
10,49
3,9
7,41
28,37
46,7
5,47
7,5
43,39
40,2
26,46
5,8
11,39
7,36
12,46
42,0
6,43
43,23
23,11
27,24
5,9
1,13
3,17
48,23
6,22
27,18
11,1
11,28
17,48
6,26
22,19
31,24
37,21
31,15
1,26
34,4
45,39
22,19
32,21
11,45
15,47
10,13
38,32
41,5
34,34
40,30
32,5
13,48
35,6
27,47
12,43
20,47
7,29
25,42
0,9
46,17
23,36
37,16
11,4
39,27
35,9
11,9
30,8
30,12
15,25
0,2
8,29
18,10
12,15
9,34
25,16
21,35
41,48
24,22
7,27
45,34
45,11
27,20
42,30
45,32
46,10
18,42
5,30
48,37
18,5
47,8
38,15
45,22
47,24
3,34
8,11
37,2
47,41
44,2
48,19
12,39
47,8
14,44
1,46
10,17
34,39
25,48
48,32
40,17
34,6
45,31
19,16
15,45
34,38
40,41
4,3
33,2
35,14
17,2
18,10
34,28
37,34
8,44
33,13
46,20
15,15
0,46
28,49
41,33
15,16
19,40
37,48
14,19
40,0
27,17
11,25
24,35
16,11
35,47
44,12
2,2
9,48
14,0
44,13
34,30
28,34
45,29
11,48
35,23
35,45
7,2
24,41
11,10
14,10
12,27
0,42
10,47
45,35
24,0
38,24
40,29
16,25
12,9
10,17
37,22
9,17
8,18
